id,first_name,middle_name,last_name,gender,username,password_digest,date_of_birth,school_id,organization_id,created_at,updated_at
1,Terri,,Schweitzer,,tschweitzer,$2a$10$IeZaG5lQ56q2IqTdcmba0.vny910JK8EXTexoJKM4nQO50s3KqJu2,,,1,10/23/14 16:05,10/23/14 16:05
2,Barbara,,Grande,,bgrande,$2a$10$bEGzXak92.vMA0en7.Lq8eC4FfhDuO/K8XTaw2kvan.H0NslpWdUu,,,1,10/23/14 16:05,10/23/14 16:05
3,Kelly,,Reeves,,kreeves,$2a$10$IeZaG5lQ56q2IqTdcmba0.vny910JK8EXTexoJKM4nQO50s3KqJu3,,,1,10/23/14 16:05,10/23/14 16:05
4,Jack,,Johnson,,jjohnson,$2a$10$bEGzXak92.vMA0en7.Lq8eC4FfhDuO/K8XTaw2kvan.H0NslpWdUu,,,1,,
5,John,,Swearengin,,jswearengin,$2a$10$IeZaG5lQ56q2IqTdcmba0.vny910JK8EXTexoJKM4nQO50s3KqJu4,,,1,,
6,Nicholas,,Moore,,nmoore,$2a$10$bEGzXak92.vMA0en7.Lq8eC4FfhDuO/K8XTaw2kvan.H0NslpWdUu,,,1,,
7,Jules,,Powers,,jpowers,$2a$10$IeZaG5lQ56q2IqTdcmba0.vny910JK8EXTexoJKM4nQO50s3KqJu5,,,1,,
8,Louie,,Peterson,,lpeterson,$2a$10$bEGzXak92.vMA0en7.Lq8eC4FfhDuO/K8XTaw2kvan.H0NslpWdUu,,,1,,
9,Christina,,Hines,,chines,$2a$10$IeZaG5lQ56q2IqTdcmba0.vny910JK8EXTexoJKM4nQO50s3KqJu6,,,1,,
10,Martha,,Butler,,mbutler,$2a$10$bEGzXak92.vMA0en7.Lq8eC4FfhDuO/K8XTaw2kvan.H0NslpWdUu,,,1,,
